DATE,CPIAUCSL
7/1/2004,189.1
8/1/2004,189.2
9/1/2004,189.8
10/1/2004,190.8
11/1/2004,191.7
12/1/2004,191.7
1/1/2005,191.6
2/1/2005,192.4
3/1/2005,193.1
4/1/2005,193.7
5/1/2005,193.6
6/1/2005,193.7
7/1/2005,194.9
8/1/2005,196.1
9/1/2005,198.8
10/1/2005,199.1
11/1/2005,198.1
12/1/2005,198.1
1/1/2006,199.3
2/1/2006,199.4
3/1/2006,199.7
4/1/2006,200.7
5/1/2006,201.3
6/1/2006,201.8
7/1/2006,202.9
8/1/2006,203.8
9/1/2006,202.8
10/1/2006,201.9
11/1/2006,202
12/1/2006,203.1
1/1/2007,203.437
2/1/2007,204.226
3/1/2007,205.288
4/1/2007,205.904
5/1/2007,206.755
6/1/2007,207.234
7/1/2007,207.603
8/1/2007,207.667
9/1/2007,208.547
10/1/2007,209.19
11/1/2007,210.834
12/1/2007,211.445
1/1/2008,212.174
2/1/2008,212.687
3/1/2008,213.448
4/1/2008,213.942
5/1/2008,215.208
6/1/2008,217.463
7/1/2008,219.016
8/1/2008,218.69
9/1/2008,218.877
10/1/2008,216.995
11/1/2008,213.153
12/1/2008,211.398
1/1/2009,211.933
2/1/2009,212.705
3/1/2009,212.495
4/1/2009,212.709
5/1/2009,213.022
6/1/2009,214.79
7/1/2009,214.726
8/1/2009,215.445
9/1/2009,215.861
10/1/2009,216.509
11/1/2009,217.234
12/1/2009,217.347
1/1/2010,217.488
2/1/2010,217.281
3/1/2010,217.353
4/1/2010,217.403
5/1/2010,217.29
6/1/2010,217.199
7/1/2010,217.605
8/1/2010,217.923
9/1/2010,218.275
10/1/2010,219.035
11/1/2010,219.59
12/1/2010,220.472
1/1/2011,221.187
2/1/2011,221.898
3/1/2011,223.046
4/1/2011,224.093
5/1/2011,224.806
6/1/2011,224.806
7/1/2011,225.395
8/1/2011,226.106
9/1/2011,226.597
10/1/2011,226.75
11/1/2011,227.169
12/1/2011,227.223
1/1/2012,227.842
2/1/2012,228.329
3/1/2012,228.807
4/1/2012,229.187
5/1/2012,228.713
6/1/2012,228.524
7/1/2012,228.59
8/1/2012,229.918
9/1/2012,231.015
10/1/2012,231.638
11/1/2012,231.249
12/1/2012,231.221
1/1/2013,231.679
2/1/2013,232.937
3/1/2013,232.282
4/1/2013,231.797
5/1/2013,231.893
6/1/2013,232.445
7/1/2013,232.9
8/1/2013,233.456
9/1/2013,233.544
10/1/2013,233.669
11/1/2013,234.1
12/1/2013,234.719
1/1/2014,235.288
2/1/2014,235.547
3/1/2014,236.028
4/1/2014,236.468
5/1/2014,236.918
6/1/2014,237.231
7/1/2014,237.498
8/1/2014,237.46
9/1/2014,237.477
10/1/2014,237.43
11/1/2014,236.983
12/1/2014,236.252
1/1/2015,234.747
2/1/2015,235.342
3/1/2015,235.976
4/1/2015,236.222
5/1/2015,237.001
6/1/2015,237.657
7/1/2015,238.034
8/1/2015,238.033
9/1/2015,237.498
10/1/2015,237.733
11/1/2015,238.017
12/1/2015,237.761
1/1/2016,237.652
2/1/2016,237.336
3/1/2016,238.08
4/1/2016,238.992
5/1/2016,239.557
6/1/2016,240.222
7/1/2016,240.101
8/1/2016,240.545
9/1/2016,241.176
10/1/2016,241.741
11/1/2016,242.026
12/1/2016,242.637
1/1/2017,243.618
2/1/2017,244.006
3/1/2017,243.892
4/1/2017,244.193
5/1/2017,244.004
6/1/2017,244.163
7/1/2017,244.243
8/1/2017,245.183
9/1/2017,246.435
10/1/2017,246.626
11/1/2017,247.284
12/1/2017,247.805
1/1/2018,248.859
2/1/2018,249.529
3/1/2018,249.577
4/1/2018,250.227
5/1/2018,250.792
6/1/2018,251.018
7/1/2018,251.214
8/1/2018,251.663
9/1/2018,252.182
10/1/2018,252.772
11/1/2018,252.594
12/1/2018,252.767
1/1/2019,252.718
2/1/2019,253.322
3/1/2019,254.202
4/1/2019,255.211
5/1/2019,255.29
6/1/2019,255.159
7/1/2019,255.685
8/1/2019,256.059
9/1/2019,256.511
10/1/2019,257.244
11/1/2019,257.803
12/1/2019,258.616
1/1/2020,259.037
2/1/2020,259.248
3/1/2020,258.124
4/1/2020,256.092
5/1/2020,255.868
6/1/2020,256.986
7/1/2020,258.278
8/1/2020,259.411
9/1/2020,260.029
10/1/2020,260.286
11/1/2020,260.813
12/1/2020,262.035
1/1/2021,262.65
2/1/2021,263.638
3/1/2021,264.914
4/1/2021,266.67
5/1/2021,268.444
6/1/2021,270.559
7/1/2021,271.764
8/1/2021,272.87
9/1/2021,274.028
10/1/2021,276.522
11/1/2021,278.711
12/1/2021,280.887
1/1/2022,282.599
2/1/2022,284.61
3/1/2022,287.472
4/1/2022,288.611
5/1/2022,291.268
6/1/2022,294.728
7/1/2022,294.628
8/1/2022,295.32
9/1/2022,296.539
10/1/2022,297.987
11/1/2022,298.598
12/1/2022,298.99
1/1/2023,300.536
2/1/2023,301.648
3/1/2023,301.808
4/1/2023,302.918
5/1/2023,303.294
6/1/2023,303.841
7/1/2023,304.348
8/1/2023,306.269
9/1/2023,307.481
